year,ct.new_deaths,ct.new_infections,ct.n_infected
2022,3.610502849,346448.9535,249218.8861
2023,3.658154863,356410.8183,256194.5262
2024,3.722199156,366853.3295,263492.5358
2025,3.783197991,377522.8424,270850.7722
2026,3.85946111,388066.3399,278072.1959
2027,3.917199218,398542.2636,285211.5189
2028,3.972990664,409267.5756,292444.2627
2029,4.027656809,420357.9417,299863.4989
2030,4.083409433,431546.4529,307361.0142
2031,4.131314307,442666.6301,314831.7547
2032,4.164215011,453642.4438,322284.604
2033,4.20019048,464672.8142,329783.9867
2034,4.23262311,475740.7224,337334.4372
2035,4.275586327,486755.6016,344791.9697
2036,4.307782036,497514.58,352104.8723
2037,4.346559003,508095.6099,359276.7698
2038,4.379642406,518544.1147,366339.9888
2039,4.416012855,528809.7778,373320.6297
2040,4.439538031,538927.7733,380150.1445
2041,4.471149238,548745.9536,386801.4367
2042,4.492629093,558287.1821,393247.4035
2043,4.526418619,567583.3367,399497.3884
2044,4.558137599,576621.6693,405579.3581
2045,4.591354962,585473.7143,411502.3736
2046,4.630887503,594246.4208,417314.9418
2047,4.679193583,602835.9902,423010.4986
2048,4.727416595,611148.622,428575.6677
2049,4.773354671,619246.2277,434034.3767
2050,4.814488796,627176.3418,439427.4888