time,hiv_prevalence,hiv_n_infected,hiv_new_infections,hiv_new_deaths
1990,0.064307403,650398.1894,220610.6639,19493.01613
1991,0.080591831,836367.1097,240208.3526,27903.42327
1992,0.095323752,1014387.805,243517.1114,37426.04273
1993,0.108515293,1171413.694,234924.1657,47616.35714
1994,0.119882992,1301760.737,219800.393,57881.85632
1995,0.127607,1402916.589,202392.3041,67765.36032
1996,0.131945555,1474909.975,185020.1679,76772.88767
1997,0.133795943,1520243.155,169071.9983,84761.75169
1998,0.133573494,1542555.335,154949.3637,91477.22028
1999,0.131919126,1545624.368,142548.6849,96772.12667
2000,0.12957522,1533480.742,131570.8807,100653.4561
2001,0.126722254,1509385.984,121485.5232,102974.9548
2002,0.12311859,1475532.476,112182.5692,104080.6062
2003,0.118829699,1434967.012,103952.5136,103814.2167
2004,0.11439184,1391105.55,98537.27868,100626.7245
2005,0.110575331,1351756.115,94726.89957,94712.66359
2006,0.106901801,1318151.592,92572.57727,86866.01409
2007,0.103947045,1294199.75,90631.84334,77472.40772
2008,0.101763895,1277172.19,88629.9047,68057.4928
2009,0.100063824,1268790.282,86360.21206,58590.58924
2010,0.099373489,1275932.839,80573.92144,48673.71986
2011,0.099075236,1290532.719,72346.50899,40032.22684
2012,0.098593068,1307869.677,62250.14777,34358.58703
2013,0.097409237,1320423.311,58204.65161,30563.74506
2014,0.095953821,1329512.439,53703.12681,27910.19371
2015,0.094456061,1337019.593,49779.635,26451.3338
2016,0.092839376,1341780.015,44851.31328,25837.06344
2017,0.091008746,1342479.2,38831.12,25422.27108
2018,0.088921082,1338456.486,32853.39789,24446.71877
2019,0.086568539,1329225.983,26184.00705,23111.3745
2020,0.083890786,1314540.602,21937.75653,21550.6007
2021,0.08097486,1295073.362,20305.18407,19914.23738
2022,,,,